Expediente,Resolución
CFP 14217/2003,26/08/2025: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,19/08/2025: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,05/08/2025: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,13/03/2025: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 5
CFP 14217/2003,10/12/2024: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,10/12/2024: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,28/11/2024: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,03/10/2024: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,25/06/2024: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 5
CFP 14217/2003,24/04/2024: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 5
CFP 14217/2003,12/09/2023: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,31/08/2023: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,15/06/2023: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,21/03/2023: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,02/03/2023: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,15/02/2023: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 14217/2003,13/02/2023: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 14217/2003,10/09/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,03/09/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,18/08/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,30/07/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,24/07/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,16/07/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,08/07/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,25/06/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,12/06/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,28/05/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,19/03/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,06/03/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,18/02/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,05/02/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,21/01/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,21/01/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,19/12/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,17/12/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,09/09/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,27/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,12/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,04/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,09/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,09/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2
CFP 14217/2003,30/11/2017: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 5
